__time,/LCQP_controller_multipleObstacle/distance/data.0,/LCQP_controller_multipleObstacle/distance/data.1,/LCQP_controller_multipleObstacle/distance/data.10,/LCQP_controller_multipleObstacle/distance/data.11,/LCQP_controller_multipleObstacle/distance/data.12,/LCQP_controller_multipleObstacle/distance/data.13,/LCQP_controller_multipleObstacle/distance/data.14,/LCQP_controller_multipleObstacle/distance/data.2,/LCQP_controller_multipleObstacle/distance/data.3,/LCQP_controller_multipleObstacle/distance/data.4,/LCQP_controller_multipleObstacle/distance/data.5,/LCQP_controller_multipleObstacle/distance/data.6,/LCQP_controller_multipleObstacle/distance/data.7,/LCQP_controller_multipleObstacle/distance/data.8,/LCQP_controller_multipleObstacle/distance/data.9,/LCQP_controller_multipleObstacle/distance/layout/data_offset,/joint_states/header/seq,/joint_states/header/stamp,/joint_states/panda_finger_joint1/effort,/joint_states/panda_finger_joint1/position,/joint_states/panda_finger_joint1/velocity,/joint_states/panda_finger_joint2/effort,/joint_states/panda_finger_joint2/position,/joint_states/panda_finger_joint2/velocity,/joint_states/panda_joint1/effort,/joint_states/panda_joint1/position,/joint_states/panda_joint1/velocity,/joint_states/panda_joint2/effort,/joint_states/panda_joint2/position,/joint_states/panda_joint2/velocity,/joint_states/panda_joint3/effort,/joint_states/panda_joint3/position,/joint_states/panda_joint3/velocity,/joint_states/panda_joint4/effort,/joint_states/panda_joint4/position,/joint_states/panda_joint4/velocity,/joint_states/panda_joint5/effort,/joint_states/panda_joint5/position,/joint_states/panda_joint5/velocity,/joint_states/panda_joint6/effort,/joint_states/panda_joint6/position,/joint_states/panda_joint6/velocity,/joint_states/panda_joint7/effort,/joint_states/panda_joint7/position,/joint_states/panda_joint7/velocity
1709656043.200371,,,,,,,,,,,,,,,,,2.000000000,1709656043.200124025,0.000000000,0.033855762,0.000000000,0.000000000,0.033855762,0.000000000,-0.248328209,0.000797437,-0.000039551,-3.610322952,-0.785838383,0.005136326,-0.742046952,0.000329396,-0.000061058,22.173336029,-2.356463851,0.000142240,0.656542957,0.002491675,-0.000222792,2.342100620,1.572075379,-0.000447516,-0.072142638,0.789576860,-0.001069297
1709656043.233797,,,,,,,,,,,,,,,,,3.000000000,1709656043.233511925,0.000000000,0.033855762,0.000000000,0.000000000,0.033855762,0.000000000,-0.288001060,0.000799984,0.001045233,-3.649995804,-0.785836307,0.004973012,-0.742046952,0.000327977,-0.000484155,22.093990326,-2.356460276,0.002289988,0.644641101,0.002492997,0.000159452,2.327452183,1.572080052,0.000184926,-0.143553779,0.789584692,0.001790533
1709656043.267119,,,,,,,,,,,,,,,,,4.000000000,1709656043.266877890,0.000000000,0.033855762,0.000000000,0.000000000,0.033855762,0.000000000,-0.208655357,0.000794416,-0.001021400,-3.527009964,-0.785844261,-0.001576402,-0.781719804,0.000330760,0.001761682,22.213008881,-2.356468704,-0.000827263,0.644641101,0.002492998,0.000263015,2.320127964,1.572077807,0.000592117,-0.107848205,0.789585455,0.000864511
1709656043.300593,,,,,,,,,,,,,,,,,5.000000000,1709656043.300276041,0.000000000,0.033855762,0.000000000,0.000000000,0.033855762,0.000000000,-0.327673912,0.000802847,0.001737680,-3.610322952,-0.785838386,0.000327102,-0.742046952,0.000330099,-0.000472281,22.252681732,-2.356471486,-0.002219137,0.656542957,0.002491675,-0.000084698,2.334776402,1.572075717,-0.000165995,-0.079466857,0.789578729,-0.000496035
1709656043.333665,,,,,,,,,,,,,,,,,6.000000000,1709656043.333496094,0.000000000,0.033855762,0.000000000,0.000000000,0.033855762,0.000000000,-0.288001060,0.000797854,0.002152843,-3.649995804,-0.785837631,0.001260023,-0.742046952,0.000327977,-0.000714751,22.173336029,-2.356465919,0.000211840,0.644641101,0.002492997,0.000380925,2.334776402,1.572078901,-0.000057443,-0.136229560,0.789585095,0.001687496
1709656043.367196,,,,,,,,,,,,,,,,,7.000000000,1709656043.366825104,0.000000000,0.033855762,0.000000000,0.000000000,0.033855762,0.000000000,-0.407019615,0.001184815,0.023113777,0.662443161,-0.785220535,0.043454635,0.674273849,0.000777777,0.011920377,20.153987885,-2.356567108,-0.012112276,0.483508289,0.002658323,0.014429415,2.261534214,1.572315742,0.015477931,-0.136229560,0.789587057,0.001152803
1709656043.400369,,,,,,,,,,,,,,,,,8.000000000,1709656043.400171041,0.000000000,0.033856090,0.000000000,0.000000000,0.033856090,0.000000000,-0.049963951,0.002032731,0.019737977,-2.999361038,-0.783225891,0.077744172,-0.781719804,0.001787352,0.035961968,21.974971771,-2.356669438,-0.001193911,0.758166492,0.002854198,0.006670918,2.443724155,1.573103871,0.028789851,-0.115172423,0.789582043,0.000652715
1709656043.433750,,,,,,,,,,,,,,,,,9.000000000,1709656043.433491945,0.000000000,0.033856090,0.000000000,0.000000000,0.033856090,0.000000000,-0.288001060,0.002933322,0.025491032,-3.118379593,-0.780562922,0.079938091,-0.468304276,0.003007616,0.032348621,21.899593353,-2.356711372,0.001864921,0.770068347,0.003164559,0.013476439,2.502317905,1.574009982,0.028686369,-0.093199767,0.789583846,0.000166742
1709656043.467114,,,,,,,,,,,,,,,,,10.000000000,1709656043.466799021,0.000000000,0.033856090,0.000000000,0.000000000,0.033856090,0.000000000,-0.168982506,0.003810223,0.027791081,-3.649995804,-0.777741339,0.078671478,-0.428631425,0.004170639,0.032735185,22.133663177,-2.356762124,0.000171304,0.781970203,0.003441514,0.009753159,2.581968784,1.574939493,0.030231053,-0.093199767,0.789579567,-0.000312337
1709656043.500496,,,,,,,,,,,,,,,,,11.000000000,1709656043.500240088,0.000000000,0.033856090,0.000000000,0.000000000,0.033856090,0.000000000,-0.129309654,0.004709604,0.026321943,-3.527009964,-0.775051709,0.077718296,-0.742046952,0.005370957,0.038010850,22.332027435,-2.356950410,-0.006551101,0.835070789,0.003723130,0.006822335,2.611265659,1.575827461,0.031862569,-0.136229560,0.789588627,0.002009983
1709656043.533832,,,,,,,,,,,,,,,,,12.000000000,1709656043.533508062,0.000000000,0.033856090,0.000000000,0.000000000,0.033856090,0.000000000,-0.288001060,0.005742037,0.026465292,-3.566682816,-0.772487077,0.074838313,-0.543682694,0.006538619,0.025764870,22.173336029,-2.357008562,0.000465065,0.805773914,0.004029849,0.012251464,2.589293003,1.576806890,0.034964304,-0.122496642,0.789587084,0.001593302
1709656043.567234,,,,,,,,,,,,,,,,,13.000000000,1709656043.567044020,0.000000000,0.033856090,0.000000000,0.000000000,0.033856090,0.000000000,-0.168982506,0.006648814,0.023299568,-3.610322952,-0.769871224,0.084175437,-0.662701249,0.007718100,0.036765394,22.292354584,-2.357020497,-0.001800096,0.811267078,0.004339762,0.012298276,2.603941441,1.577822858,0.021004072,-0.115172423,0.789582638,0.001132825
1709656043.601145,,,,,,,,,,,,,,,,,14.000000000,1709656043.600802898,0.000000000,0.033856090,0.000000000,0.000000000,0.033856090,0.000000000,-0.168982506,0.006648814,0.023299568,-3.610322952,-0.769871224,0.084175437,-0.662701249,0.007718100,0.036765394,22.292354584,-2.357020497,-0.001800096,0.811267078,0.004339762,0.012298276,2.603941441,1.577822858,0.021004072,-0.115172423,0.789582638,0.001132825
1709656043.612577,0.481779089,0.662627569,0.624987005,0.298757515,0.494232487,0.631364606,0.378464662,0.441845340,0.487908609,0.464831766,0.199063298,0.608702513,0.630225136,0.166187696,0.471129582,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709656043.633795,,,,,,,,,,,,,,,,,15.000000000,1709656043.633405924,0.000000000,0.033855762,0.000000000,0.000000000,0.033855762,0.000000000,-0.168982506,0.007521973,0.030022033,-3.772981644,-0.767159985,0.085878327,-0.468304276,0.008830041,0.026539978,22.133663177,-2.357006825,-0.000591286,0.835070789,0.004629059,0.003811115,2.552671909,1.578855390,0.031288877,-0.072142638,0.789581502,-0.000695931
1709656043.646546,0.481779089,0.662206485,0.624375531,0.298375914,0.494232487,0.630861323,0.377159661,0.440548351,0.487724786,0.464129264,0.198424150,0.608702513,0.629404743,0.165221865,0.471129582,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709656043.667326,,,,,,,,,,,,,,,,,16.000000000,1709656043.666896105,0.000000000,0.033855762,0.000000000,0.000000000,0.033855762,0.000000000,-0.049963951,0.008370058,0.027966345,-3.689668655,-0.764421021,0.081972351,-0.702374101,0.009964576,0.037063936,22.332027435,-2.357058181,-0.002015196,0.846972644,0.004918672,0.009827630,2.611265659,1.579768195,0.026700623,-0.079466857,0.789579024,-0.000587567
1709656043.680643,0.481779089,0.661786139,0.623751700,0.298017423,0.494232487,0.630358302,0.375855946,0.439256390,0.487538527,0.463425768,0.197774805,0.608702513,0.628576426,0.164248576,0.471129582,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709656043.700602,,,,,,,,,,,,,,,,,17.000000000,1709656043.700185061,0.000000000,0.033856090,0.000000000,0.000000000,0.033856090,0.000000000,-0.129309654,0.009342152,0.025934502,-3.852327347,-0.761734105,0.080224385,-0.468304276,0.011095293,0.026411292,22.173336029,-2.357056165,0.000829296,0.835070789,0.005214367,0.004214194,2.567320347,1.580821785,0.024009490,-0.072142638,0.789581388,-0.000948945
1709656043.718568,0.481779089,0.661355032,0.623126785,0.297667725,0.494232487,0.629843737,0.374504787,0.437916822,0.487347121,0.462709705,0.197099965,0.608702513,0.627739186,0.163270028,0.471129582,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
